Keep,AutoCtr,StockCode,sciname,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
Y,5741,4028,Acanthogobius flavimanus,405,30504,15.3,15.3,TL,NA,NA,1,unsexed,0.01103,0.01103,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00.000Z,NA,1999-06-15T00:00:00.000Z,NA,NA,NA,3832
,5727,4016,Ammodytes americanus,402,4667,NA,NA,NA,NA,NA,120,female,0.0014,NA,3.085,0.9293,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Block Island Sound, Rhode Island",4667,840,Postspawning.,3,1992-09-01T00:00:00.000Z,NA,1993-05-24T00:00:00.000Z,3,1995-04-05T00:00:00.000Z,NA,3820
,5728,4016,Ammodytes americanus,402,4667,NA,NA,NA,NA,NA,109,female,0.0014,NA,3.321,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Merrimac River, New Hampshire",4667,840,Prespawning,3,1992-09-01T00:00:00.000Z,NA,1998-06-02T00:00:00.000Z,3,1995-04-05T00:00:00.000Z,NA,3820
Y,5729,4016,Ammodytes americanus,402,4667,NA,NA,NA,NA,NA,128,male,0.001,NA,3.491,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Block Island Sound, Rhode Island",4667,840,Postspawning.,3,1992-09-01T00:00:00.000Z,NA,1993-05-24T00:00:00.000Z,3,1995-04-05T00:00:00.000Z,NA,3820
Y,2058,561,Anchoa mitchilli,454,4528,2.6,8.4,FL,NA,NA,1004,unsexed,0.00436,NA,3.18,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Chesapeake Bay, 1987 (spring)",4528,840,NA,3,2000-12-15T00:00:00.000Z,NA,2000-12-15T00:00:00.000Z,NA,NA,NA,545
,2059,561,Anchoa mitchilli,454,4528,4.9,7.9,TL,NA,NA,216,unsexed,0.0171,0.0171,2.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Gulf of Mexico, Louisiana & Mississippi",4528,840,NA,3,1992-08-04T00:00:00.000Z,NA,1993-02-25T00:00:00.000Z,NA,NA,NA,545
,36536,561,Anchoa mitchilli,NA,95265,1.5,6.5,SL,NA,NA,2193,unsexed,0.003,NA,3.641,0.973,NA,0.013,NA,NA,NA,NA,3.616,3.667,Type I linear regression,"Celestun lagoon, Yucatan, 1990-2006",95265,484,Weight range: 0.01 - 2.75 g. Lm = 4.0 cm.,393,2015-04-02T00:00:00.000Z,NA,2015-04-02T00:00:00.000Z,NA,NA,NA,545
,1819,455,Archosargus probatocephalus,330,6937,27.1,27.1,FL,NA,NA,1,unsexed,0.0188,NA,3.091,1,0,0,NA,NA,NA,NA,NA,NA,other,Southern Florida,6937,840,"Preliminary estimate; intercept forced through a point at or close to the origin by adding a ""zero"" data point.",82,1994-05-13T00:00:00.000Z,3,2011-07-29T00:00:00.000Z,NA,NA,NA,441
,1820,455,Archosargus probatocephalus,330,7086,0.9,59.1,SL,NA,NA,282,unsexed,0.0296,0.01478,3.045,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Carolina,7086,840,NA,3,1994-06-14T00:00:00.000Z,NA,1998-06-02T00:00:00.000Z,NA,NA,NA,441
,1821,455,Archosargus probatocephalus,330,7121,NA,NA,NA,NA,NA,NA,female,0.053,NA,2.85,0.92544,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Louisiana waters, 1987-88",7121,840,NA,3,1994-06-18T00:00:00.000Z,3,1994-06-18T00:00:00.000Z,3,1995-04-02T00:00:00.000Z,NA,441
,1822,455,Archosargus probatocephalus,330,7121,NA,NA,NA,NA,NA,NA,male,0.0448,NA,2.88,0.94284,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Louisiana waters, 1987-88",7121,840,NA,3,1994-06-18T00:00:00.000Z,3,1994-06-18T00:00:00.000Z,3,1995-04-02T00:00:00.000Z,NA,441
,1823,455,Archosargus probatocephalus,330,80009,4.4,18,TL,NA,NA,22,mixed,0.00789,NA,3.327,0.99401,0.134,0.048,NA,NA,NA,NA,NA,NA,type I linear regression,"Espirito Santo (0°S - 25°S), 2003-2004",80009,76,NA,3,2009-01-20T00:00:00.000Z,2,2014-05-15T00:00:00.000Z,NA,NA,NA,441
Y,36557,455,Archosargus probatocephalus,NA,95265,3.8,16,SL,NA,NA,137,unsexed,0.0438,NA,2.927,0.974,NA,0.041,NA,NA,NA,NA,2.846,3.008,Type I linear regression,"Celestun lagoon, Yucatan, 1990-2006",95265,484,Weight range: 1.50 - 140.88 g.,393,2015-04-02T00:00:00.000Z,NA,2015-04-02T00:00:00.000Z,NA,NA,NA,441
,4009,1892,Atherina boyeri,218,5455,NA,NA,NA,NA,NA,329,unsexed,0.00347,NA,3.27,0.94673,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Aberthaw Lagoon, Bristol Channel, 1986-87",5455,826A,NA,3,1993-07-05T00:00:00.000Z,NA,1993-07-10T00:00:00.000Z,NA,NA,NA,1696
,4010,1892,Atherina boyeri,218,27610,NA,NA,TL,NA,Yes,2543,mixed,0.0049,0.0049,3.21,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lake Trichonis, 1988-90",27729,300,Used 'net weight'.,3,1998-11-30T00:00:00.000Z,3,2012-03-08T00:00:00.000Z,NA,NA,NA,1696
,4011,1892,Atherina boyeri,218,36159,2.4,9.7,TL,NA,NA,269,female,0.036,0.036,2.303,0.8649,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lake Trasimeno, 1986-87",36159,380,NA,363,2000-10-09T00:00:00.000Z,3,2000-09-10T00:00:00.000Z,NA,NA,NA,1696
,4012,1892,Atherina boyeri,218,36159,3.3,8.7,TL,NA,NA,251,male,0.0185,0.0185,2.627,0.8281,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lake Trasimeno, 1986-87",36159,380,NA,363,2000-10-09T00:00:00.000Z,3,2000-09-10T00:00:00.000Z,NA,NA,NA,1696
,4013,1892,Atherina boyeri,218,50467,NA,NA,TL,NA,yes,11,unsexed,0.06,NA,2.23,0.83906,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lake Albufera, 2000 (summer)",50467,724,NA,3,2008-10-29T00:00:00.000Z,3,2012-03-30T00:00:00.000Z,NA,NA,NA,1696
,4014,1892,Atherina boyeri,218,50929,NA,NA,FL,NA,NA,NA,female,0.00587,0.00476,3.25,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Mar Menor lagoon, SE Iberian Peninsula, 1997-98",50929,724,NA,3,2004-04-12T00:00:00.000Z,NA,2017-04-04T00:00:00.000Z,NA,NA,NA,1696
,4015,1892,Atherina boyeri,218,50929,NA,NA,FL,NA,NA,NA,male,0.00591,0.0048,3.22,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Mar Menor lagoon, SE Iberian Peninsula, 1997-98",50929,724,NA,3,2004-04-12T00:00:00.000Z,NA,2017-04-04T00:00:00.000Z,NA,NA,NA,1696
,4016,1892,Atherina boyeri,218,50932,3.6,9.7,TL,NA,NA,86,unsexed,0.0074,0.0074,2.975,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Porto-Lagos, NE Aegean, 1988-90",50932,300,NA,3,2004-04-17T00:00:00.000Z,NA,2017-04-04T00:00:00.000Z,NA,NA,NA,1696
,4017,1892,Atherina boyeri,218,50932,1.1,11.5,TL,NA,NA,706,unsexed,0.0075,0.0075,3.023,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Strymon estuary, NW Aegean, 1997-99",50932,300,NA,3,2004-04-17T00:00:00.000Z,NA,2017-04-04T00:00:00.000Z,NA,NA,NA,1696
,4018,1892,Atherina boyeri,218,50932,2.5,10.7,TL,NA,NA,158,unsexed,0.0096,0.0096,2.891,0.98089,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Rihios estuary, NW Aegean, 1997-99",50932,300,NA,3,2004-04-17T00:00:00.000Z,NA,2017-04-04T00:00:00.000Z,NA,NA,NA,1696
,36254,1892,Atherina boyeri,NA,53342,6.2,11.4,TL,NA,NA,149,unsexed,0.006,NA,3.151,0.934,NA,0.035,NA,NA,NA,NA,NA,NA,Type I linear regression,"North Aegean Sea (Thracian Sea) (39°35’-40°54’N; 24°22’-25°33’E), 1996-98",53342,300,NA,393,2014-11-28T00:00:00.000Z,NA,2014-11-28T00:00:00.000Z,NA,NA,NA,1696
Y,4019,1892,Atherina boyeri,218,59098,3.9,9.4,FL,NA,NA,1936,unsexed,0.00558,NA,3.26,0.97023,NA,0.013,NA,NA,NA,NA,NA,NA,type I linear regression,"Segura River basin (reservoirs), 2000-2004",59098,724,NA,3,2008-10-30T00:00:00.000Z,3,2011-11-17T00:00:00.000Z,NA,NA,NA,1696
,4020,1892,Atherina boyeri,218,59105,3.9,11.1,TL,NA,NA,15,unsexed,0.0035,NA,3.31,0.992,NA,0.036,NA,NA,NA,NA,NA,NA,type I linear regression,"Küçükçekmece Lagoon, Marmara, 1971-74; 1981 (May-Jun.)",59105,792,NA,3,2009-05-18T00:00:00.000Z,NA,2011-05-20T00:00:00.000Z,NA,NA,NA,1696
,4021,1892,Atherina boyeri,218,59105,7.7,12.9,TL,NA,NA,442,unsexed,0.0159,NA,2.66,0.826,NA,0.009,NA,NA,NA,NA,NA,NA,type I linear regression,"Ömerli Dam, Marmara, 2002-2004",59105,792,NA,3,2009-05-18T00:00:00.000Z,NA,2011-05-20T00:00:00.000Z,NA,NA,NA,1696
,4022,1892,Atherina boyeri,218,59118,3.6,9.8,TL,NA,NA,185,unsexed,0.007,NA,2.95,0.978,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"River Neretva estuary, middle Adriatic, 2000-2004",59118,191,NA,3,2009-05-06T00:00:00.000Z,NA,2009-05-07T00:00:00.000Z,NA,NA,NA,1696
,4023,1892,Atherina boyeri,218,59118,4.5,15.7,TL,NA,NA,710,unsexed,0.0075,NA,2.975,0.98,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"River Mirna estuary, northern Adriatic, 2000-2004",59118,191,NA,3,2009-05-04T00:00:00.000Z,NA,2009-05-07T00:00:00.000Z,NA,NA,NA,1696
,4024,1892,Atherina boyeri,218,59118,2.5,10.6,TL,NA,NA,385,unsexed,0.0095,NA,2.85,0.981,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"River Cetina estuary, middle Adriatic, 2000-2004",59118,191,NA,3,2009-05-04T00:00:00.000Z,NA,2009-05-07T00:00:00.000Z,NA,NA,NA,1696
,10297,1892,Atherina boyeri,218,88088,7.6,11.7,TL,NA,NA,14,unsexed,0.0015,NA,3.485,0.992,NA,NA,NA,NA,NA,NA,3.265,3.705,type I linear regression,"northern Sea of Marmara, 2006-2007 (Nov.-Mar.)",88088,792,NA,3,2011-11-10T00:00:00.000Z,NA,2011-11-11T00:00:00.000Z,NA,NA,NA,1696
N,10298,1892,Atherina boyeri,218,88089,2.5,11.2,TL,NA,NA,606,unsexed,0.0045,NA,3.215,0.974,NA,0.042,NA,NA,NA,NA,NA,NA,Type II linear regression,"Erdek Bay (27°20'- 27°52' E; 40°18'-40°28' N), Sea of Marmara, 2000-2001",88089,792,NA,3,2011-11-10T00:00:00.000Z,3,2012-03-15T00:00:00.000Z,NA,NA,NA,1696
,35991,1892,Atherina boyeri,NA,91093,1,9.4,TL,NA,NA,1558,unsexed,0.0043,0.0043,3.187,0.972,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,"Candarli Bay, north Aegean Sea, 2006-2008",91093,792,NA,393,2014-07-29T00:00:00.000Z,NA,2014-07-29T00:00:00.000Z,NA,NA,NA,1696
,8265,7830,Atherinella brasiliensis,623,39376,2.7,15.5,TL,NA,yes,37,unsexed,0.00328,0.00328,3.333,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Rio Grande do Sul (28°-34°S),39376,76,NA,3,2001-08-14T00:00:00.000Z,113,2007-03-21T00:00:00.000Z,NA,NA,NA,7526
,8266,7830,Atherinella brasiliensis,NA,71685,6.1,11.4,TL,NA,NA,15,Unsexed,0.0036,NA,3.31,0.993,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Northern region (Curuçá Estuary), Pará, 2003-2004",71685,76,NA,564,2009-11-13T00:00:00.000Z,3,2010-04-29T00:00:00.000Z,NA,NA,NA,7526
,8267,7830,Atherinella brasiliensis,NA,83779,NA,NA,TL,NA,NA,NA,Female,0.00487,NA,3.2,0.987,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Tramandaí Lagoon - Imbé city, Rio Grande do Sul, 1993-1994",83779,76,NA,564,2009-11-13T00:00:00.000Z,3,2010-04-29T00:00:00.000Z,NA,NA,NA,7526
,8268,7830,Atherinella brasiliensis,NA,83779,NA,NA,TL,NA,NA,NA,Male,0.00486,NA,3.2,0.987,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Tramandaí Lagoon - Imbé city, Rio Grande do Sul, 1993-1994",83779,76,NA,564,2009-11-13T00:00:00.000Z,3,2010-04-29T00:00:00.000Z,NA,NA,NA,7526
,8269,7830,Atherinella brasiliensis,NA,83779,NA,NA,TL,NA,NA,NA,Mixed,0.0049,NA,3.2,0.989,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Tramandaí Lagoon - Imbé city, Rio Grande do Sul, 1993-1994",83779,76,NA,564,2009-11-13T00:00:00.000Z,3,2010-04-29T00:00:00.000Z,NA,NA,NA,7526
,35580,7830,Atherinella brasiliensis,NA,91126,2.4,7.1,TL,NA,NA,16,unsexed,0.00727,NA,2.91,0.965,NA,NA,NA,NA,NA,NA,2.63,3.19,Type I linear regression,"Praia dos Castelhanos, Espírito Santo, 2005-07",91126,76,NA,393,2014-04-23T00:00:00.000Z,NA,2014-04-23T00:00:00.000Z,NA,NA,NA,7526
Y,36126,7830,Atherinella brasiliensis,NA,97037,1,17.7,TL,NA,NA,7164,unsexed,0.005,NA,3.013,0.95,NA,0.008,NA,NA,NA,NA,2.997,3.028,Type I linear regression,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",NA,76,NA,65,2014-08-14T00:00:00.000Z,NA,2014-08-14T00:00:00.000Z,NA,NA,NA,7526
,5255,3431,Atherinops affinis,623,59092,4.4,17.7,SL,NA,Yes,198,mixed,0.04,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"coastal streams' mouths, northwestern Baja California (32°23'01"" N--30°02'32.5"" N), 1983-97",59092,484,NA,3,2008-12-15T00:00:00.000Z,65,2015-06-23T00:00:00.000Z,NA,NA,NA,3235
Y,36709,3431,Atherinops affinis,NA,72146,4.4,17.7,TL,NA,NA,198,unsexed,0.04,NA,2.5,0.97,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,northwestern Baja California / 1983-1997,NA,484,NA,65,2015-07-02T00:00:00.000Z,NA,2015-07-02T00:00:00.000Z,NA,NA,NA,3235
,2936,1181,Bairdiella chrysoura,331,4480,NA,NA,SL,NA,NA,NA,female,0.024,NA,2.927,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Terminos Lagoon, Gulf of Mexico",4480,484,NA,3,1992-07-25T00:00:00.000Z,NA,2004-09-18T00:00:00.000Z,NA,NA,NA,1165
,2937,1181,Bairdiella chrysoura,331,4480,NA,NA,SL,NA,NA,NA,male,0.0129,NA,3.179,0.9006,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Terminos Lagoon, Gulf of Mexico",4480,484,NA,3,2004-09-18T00:00:00.000Z,NA,2004-09-18T00:00:00.000Z,NA,NA,NA,1165
Y,36561,1181,Bairdiella chrysoura,NA,95265,4,19.4,SL,NA,NA,231,unsexed,0.0174,NA,3.053,0.972,NA,0.034,NA,NA,NA,NA,2.986,3.12,Type I linear regression,"Celestun lagoon, Yucatan, 1990-2006",95265,484,Weigh range: 1.5 - 122.46 g. Lm = 9.3 cm.,393,2015-04-02T00:00:00.000Z,NA,2015-04-02T00:00:00.000Z,NA,NA,NA,1165
Y,35596,4033,Bathygobius soporator,NA,91126,1.1,8.5,TL,NA,NA,195,unsexed,0.0109,NA,3.08,0.989,NA,NA,NA,NA,NA,NA,3.04,3.13,Type I linear regression,"Praia dos Castelhanos, Espírito Santo, 2005-07",91126,76,NA,393,2014-04-23T00:00:00.000Z,NA,2014-04-23T00:00:00.000Z,NA,NA,NA,3837
,36477,4033,Bathygobius soporator,NA,95249,NA,NA,TL,NA,NA,41,unsexed,0.019,0.019,2.744,0.81,NA,NA,NA,NA,NA,NA,2.731,2.757,Type I linear regression,"Ologe Lagoon, 3° 2'E to 3° 7'E; 6°27'N to 6°30'N, 2007",95249,566,"Condition factor: 4.94, mean L: 13.17 cm, mean W: 56.93 g.",393,2015-03-18T00:00:00.000Z,NA,2015-03-18T00:00:00.000Z,NA,NA,NA,3837
,36141,4033,Bathygobius soporator,NA,97037,3.3,11.9,TL,NA,NA,25,unsexed,0.01,NA,3.117,0.98,NA,0.088,NA,NA,NA,NA,2.935,3.298,Type I linear regression,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",NA,76,NA,65,2014-08-14T00:00:00.000Z,NA,2014-08-14T00:00:00.000Z,NA,NA,NA,3837
Y,5824,4250,Blepsias cirrhosus,585,75017,10,19,TL,NA,NA,33,mixed,0.0088,NA,3.0278,0.95063,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Northern Primorye,NA,643,NA,1287,2008-04-04T00:00:00.000Z,NA,2008-04-04T00:00:00.000Z,NA,NA,NA,4054
Y,35851,475,Cheilodactylus variegatus,NA,95867,22.9,44,TL,NA,NA,94,unsexed,0.0208,0.0208,2.969,0.39,NA,1.023,NA,NA,NA,NA,NA,NA,Type I linear regression,Northern and central coast of Chile/ 2004-2005; 2012-2013.,NA,152,NA,65,2014-06-23T00:00:00.000Z,NA,2014-06-23T00:00:00.000Z,NA,NA,NA,461
,1963,523,Chelidonichthys kumu,266,9049,32,43,FL,NA,NA,6,female,0.0111,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,EEZ,9049,554,Computed from mean length and weight in Table 1.,3,1995-03-30T00:00:00.000Z,3,1995-03-30T00:00:00.000Z,3,1995-04-08T00:00:00.000Z,NA,507
Y,1964,523,Chelidonichthys kumu,266,9072,NA,NA,FL,NA,NA,NA,mixed,0.00998,NA,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Hauraki Gulf,1355,554,NA,3,1996-11-02T00:00:00.000Z,NA,1996-11-02T00:00:00.000Z,NA,NA,NA,507
,10942,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00453,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (April),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10941,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00459,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (March),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10943,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00465,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (May),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10950,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00487,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (December),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,117,32,Clupea harengus,43,268,NA,NA,TL,NA,NA,NA,unsexed,0.00497,NA,3.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Irish Sea and Clyde (annual mean),NA,826,NA,3,1992-07-15T00:00:00.000Z,65,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10944,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00499,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (June),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10939,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.005,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (January),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10948,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00508,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (October),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10958,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0051,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (April),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10949,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0051,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (November),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10945,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00511,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (July),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10940,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00515,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (February),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10957,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0052,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (March),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10947,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0052,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (September),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10946,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00531,NA,3.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Irish Sea and Clyde (August),NA,826,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10956,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00538,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (February),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10955,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00589,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (January),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10967,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.006,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (December),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10959,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00604,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (May),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10962,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0061,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (July),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
