Keep,AutoCtr,StockCode,sciname,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
,10964,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0062,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (September),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10966,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00626,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (November),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10965,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00634,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (October),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10963,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00667,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (August),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10961,32,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00669,NA,3.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Rona and all North Sea (June),NA,NA,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
Y,123,32,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.00255,NA,3.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Southern Gulf of St. Lawrence,2820,124B,spring spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,10133,32,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.00535,NA,3.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Banks stock,NA,826A,autumn spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,124,32,Clupea harengus,43,2809,NA,NA,NA,NA,No,NA,unsexed,0.00553,NA,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Dunmore stock,NA,826,winter spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,126,32,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.00633,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Downs stock,2813,826A,winter spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,127,32,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.00972,NA,2.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Southern Gulf of St. Lawrence,2820,124B,autumn spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,132,32,Clupea harengus,NA,40551,15.9,27.7,TL,NA,NA,NA,juvenile,0.00177,NA,3.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,northern coast,87995,578,Immature stage fishes.,2,2011-10-24T00:00:00.000Z,NA,2012-12-20T00:00:00.000Z,NA,NA,NA,24
,133,32,Clupea harengus,NA,40551,16,24.5,TL,NA,yes,NA,juvenile,0.00625,0.00625,3.0009,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,northern coast,87993,578,Immature stage fishes.,2,2011-10-24T00:00:00.000Z,65,2012-11-13T00:00:00.000Z,NA,NA,NA,24
,11291,32,Clupea harengus,NA,49746,5,37,TL,NA,NA,7101,mixed,0.00752,NA,3.0314,0.9636,0.022,0.007,NA,NA,NA,NA,NA,NA,Type I linear regression,Atlantic coast (spring),49746,840,TL assumed.,3,2013-02-07T00:00:00.000Z,NA,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,11290,32,Clupea harengus,NA,49746,4,34,TL,NA,NA,3779,mixed,0.00939,NA,2.9794,0.94,0.039,0.012,NA,NA,NA,NA,NA,NA,Type I linear regression,Atlantic coast (autumn),49746,840,TL assumed.,3,2013-02-07T00:00:00.000Z,NA,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,11292,32,Clupea harengus,NA,49746,8,33,TL,NA,NA,2126,mixed,0.0129,NA,2.856,0.9486,0.045,0.014,NA,NA,NA,NA,NA,NA,Type I linear regression,Atlantic coast (winter),49746,840,TL assumed.,3,2013-02-07T00:00:00.000Z,NA,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,135,32,Clupea harengus,43,56239,NA,NA,SL,NA,NA,100,Male,0.00268,0.00164,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"UK waters, 1927",NA,826,"""One hundred adult male European herrings were taken from Orton 1927.""",1,2006-02-28T23:34:49.000Z,NA,2006-02-28T23:34:49.000Z,NA,NA,NA,24
,129,56722,Clupea harengus,43,6818,NA,NA,NA,NA,NA,NA,unsexed,0.0041,NA,3.159,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Archipelago Sea, Åland Sea, north. Baltic Sea proper",6818,246,NA,67,1994-04-14T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,10141,56722,Clupea harengus,43,6818,NA,NA,NA,NA,NA,NA,unsexed,0.0062,NA,3.019,0.996,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Gulf of Finland (Baltic Sea),6818,246,NA,67,1994-04-14T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,134,56722,Clupea harengus,43,47114,13,25.6,TL,NA,No,NA,juvenile,0.0049,0.0049,3.089,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Western Baltic, 1900",47114,276,NA,1,2003-08-02T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,11285,56722,Clupea harengus,NA,92457,NA,NA,TL,NA,NA,NA,unsexed,0.006,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,"Baltic, ICES subdiv. 25-27, 1992",92457,752,"TL assumed; b = 3 assumed; a = 0.006 was based on average condition factor (from Swedish weight-at-length data, 1992, K.J. Staehr, pers. Comm., Ref. 92457).",3,2013-02-06T00:00:00.000Z,NA,2013-02-06T00:00:00.000Z,NA,NA,NA,24
,131,56758,Clupea harengus,43,6818,NA,NA,NA,NA,NA,NA,unsexed,0.0121,NA,2.778,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Bothnian Sea (Baltic Sea),6818,246,NA,67,1994-04-14T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,130,56759,Clupea harengus,43,6818,NA,NA,NA,NA,NA,NA,unsexed,0.0089,NA,2.875,1,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Bothnian Bay (Baltic Sea),6818,246,NA,67,1994-04-14T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,11466,56760,Clupea harengus,NA,94462,10.5,30.5,TL,NA,NA,909,mixed,0.00215,NA,3.35,0.989,NA,NA,0.044,NA,0.00199,0.00231,3.33,3.38,Type I linear regression,"Western Baltic Sea, Subdivisions 22-24 and Division IIIa",94462,NA,ICES SMALK data from 2000-12.,393,2013-11-26T00:00:00.000Z,NA,2013-11-26T00:00:00.000Z,NA,NA,NA,24
,118,56761,Clupea harengus,43,268,NA,NA,NA,NA,NA,NA,unsexed,0.00603,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Rona and North Sea (annual mean),NA,826B,NA,3,1992-07-15T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,10145,56761,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.00804,NA,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Buchan stock,2816,826B,autumn spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,128,56761,Clupea harengus,43,6014,NA,NA,NA,NA,NA,NA,unsexed,0.004,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,East and West Channel,6014,250,NA,3,1993-09-06T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,10134,56761,Clupea harengus,NA,40551,21.5,28.5,NA,NA,NA,NA,mixed,0.06618,NA,2.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"East Anglia, 1933",40551,826,NA,2,2011-10-24T00:00:00.000Z,2,2012-03-09T00:00:00.000Z,NA,NA,NA,24
,10500,56761,Clupea harengus,NA,40551,NA,NA,NA,NA,NA,20,unsexed,0.00584,NA,3.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,"English Channel, December 1914-1915",89644,826,NA,2,2012-03-09T00:00:00.000Z,NA,2012-03-09T00:00:00.000Z,NA,NA,NA,24
,10501,56761,Clupea harengus,NA,40551,NA,NA,NA,NA,NA,NA,unsexed,0.04108,NA,2.5006,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,"English Channel, January 1914-1915",89644,826,NA,2,2012-03-09T00:00:00.000Z,NA,2012-03-09T00:00:00.000Z,NA,NA,NA,24
,10135,56761,Clupea harengus,NA,40551,NA,NA,NA,NA,NA,NA,unsexed,0.0421,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"North Shields, 1910-1913",87993,826,NA,2,2011-10-24T00:00:00.000Z,NA,2011-10-24T00:00:00.000Z,NA,NA,NA,24
,11465,56761,Clupea harengus,NA,94462,7,37,TL,NA,NA,20165,mixed,0.00322,NA,3.22,0.991,NA,NA,0.044,NA,0.00317,0.00326,3.22,3.23,Type I linear regression,"North Sea, Sub-area IV, Divisions VIId and IIIa",94462,NA,ICES SMALK data from 2000-12.,393,2013-11-26T00:00:00.000Z,NA,2013-11-26T00:00:00.000Z,NA,NA,NA,24
,120,56763,Clupea harengus,43,268,NA,NA,NA,NA,NA,NA,unsexed,0.00791,NA,3.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Northwest Ireland and South Minch (annual mean),NA,826C,NA,3,1992-07-15T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,10142,56763,Clupea harengus,43,2809,NA,NA,NA,NA,Yes,NA,Unsexed,0.0195,NA,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Clyde stock,NA,826A,spring spawner; used somatic weight; Outlier in plot of log a vs b (RF).,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,10138,56763,Clupea harengus,NA,40551,9.8,14.9,TL,NA,yes,NA,juvenile,0.00422,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Firth of Clyde, (Nov & Feb, 1939)",87994,826,Immature stage fishes.,2,2011-10-24T00:00:00.000Z,3,2012-03-30T00:00:00.000Z,NA,NA,NA,24
,125,56764,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.00613,NA,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Manx stock,2812,833,autumn spawner,3,1992-02-25T00:00:00.000Z,3,2013-02-07T00:00:00.000Z,NA,NA,NA,24
,122,56765,Clupea harengus,43,839,NA,NA,TL,NA,NA,NA,unsexed,0.0075,0.0075,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,Atlanto-Scandian stock,NA,578,"from c.f. of about 0.75/100, with b = 3.",3,1996-04-07T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,10146,56765,Clupea harengus,43,2809,NA,NA,NA,NA,NA,NA,unsexed,0.0149,NA,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Norwegian stock,2823,578,Spring spawner.,3,1992-02-25T00:00:00.000Z,3,2013-04-19T00:00:00.000Z,NA,NA,NA,24
,10143,56767,Clupea harengus,NA,87980,25,39,TL,NA,NA,283,female,0.00934,NA,3,0.96953,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"southern coasts, 2000",87980,352,NA,2,2011-10-20T00:00:00.000Z,NA,2011-10-20T00:00:00.000Z,NA,NA,NA,24
,10144,56767,Clupea harengus,NA,87980,25.5,38.3,TL,NA,NA,168,female,0.0103,NA,2.96,0.95656,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"southern coasts, 1999",87980,352,NA,2,2011-10-20T00:00:00.000Z,NA,2011-10-20T00:00:00.000Z,NA,NA,NA,24
,11007,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00634,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (April),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11005,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00636,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (March),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11004,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00652,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (February),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11003,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00664,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (January),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10971,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00667,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (March),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10988,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00673,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (March),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10989,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00676,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (April),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10987,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00698,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (February),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11019,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00701,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (December),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11008,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00705,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (May),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10986,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00706,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (January),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11018,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00724,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (November),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10990,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00742,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (May),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,119,56768,Clupea harengus,43,268,NA,NA,NA,NA,NA,NA,unsexed,0.00742,NA,3.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Minch (annual mean),NA,826B,NA,3,1992-07-15T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,10972,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00746,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (April),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11001,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00746,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (December),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10998,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00754,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (November),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11017,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00757,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (October),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10980,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00793,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (October),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11009,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00798,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (June),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10969,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.008,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (January),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10982,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00807,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (December),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10970,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00823,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (February),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10997,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00835,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (October),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10991,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0084,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (June),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10981,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00843,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (November),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10973,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00847,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (May),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11015,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00858,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (September),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,121,56768,Clupea harengus,43,268,NA,NA,NA,NA,NA,NA,unsexed,0.00863,NA,2.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Hebrides (annual mean),NA,826B,NA,3,1992-07-15T00:00:00.000Z,65,2011-11-14T00:00:00.000Z,NA,NA,NA,24
,11010,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00881,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (July),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,11012,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00897,NA,3.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,North Minch (August),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10978,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.009,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (September),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10995,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00917,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (September),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10993,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00945,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (July),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10994,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.0096,NA,3.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,NW Ireland and South Minch (August),NA,826C,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10974,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.00988,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (June),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10975,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.01023,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (July),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
,10976,56768,Clupea harengus,NA,268,NA,NA,TL,NA,NA,NA,unsexed,0.01117,NA,2.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,Hebrides (August),NA,826B,NA,65,2012-08-06T00:00:00.000Z,NA,2012-08-06T00:00:00.000Z,NA,NA,NA,24
Y,35598,4054,Ctenogobius boleosoma,NA,91126,1.2,5,TL,NA,NA,142,unsexed,0.00808,NA,2.97,0.974,NA,NA,NA,NA,NA,NA,2.87,3.06,Type I linear regression,"Praia dos Castelhanos, Espírito Santo, 2005-07",91126,76,NA,393,2014-04-23T00:00:00.000Z,NA,2014-04-23T00:00:00.000Z,NA,NA,NA,3858
,36138,4054,Ctenogobius boleosoma,NA,97037,1.6,5.5,TL,NA,NA,97,unsexed,0.005,NA,3.136,0.96,NA,0.069,NA,NA,NA,NA,2.998,3.273,Type I linear regression,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",NA,76,NA,65,2014-08-14T00:00:00.000Z,NA,2014-08-14T00:00:00.000Z,NA,NA,NA,3858
