Country,meanLat,meanLong,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,phosphate,salinity,silicate,sstmax,sstmean,sstmin,sstrange,hemi,Site,basin,coast
Australia (NSW),-32.380278,152.508889,0.00029025,3.172249973,1.059499979,0.429500006,2.742750049,0.630249992,0.492250003,0.369500004,0.177249998,0.104499999,0.069750002,5.184749961,0.579750001,56.80824947,38.84749985,8.319499969,0.172649998,0.172649998,35.4052496,1.963,24.77400017,21.14899969,17.64174986,7.132249951,South,NSW2,Pacific,West
Australia (NSW1.1),-35.09903,150.57948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South,NSW4,Pacific,West
Australia (NSW1.2),-33.84018,151.25313,0.000235333,0.723666668,0.510999997,0.379999995,0.343666703,0.669666668,0.53733333,0.428000003,0.089333333,0.076,0.064666666,5.296000004,0.541333318,55.40233358,37.91333389,8.312333425,0.192966665,0.192966665,35.51100032,1.413666685,23.06166712,20.03666687,16.8409996,6.220666726,South,NSW3,Pacific,West
Australia (NSW2),-30.505112,153.023764,0.000927,8.850499988,1.837000012,0.669499993,8.180999875,0.618999988,0.480000004,0.343500003,0.262000002,0.134500001,0.091000002,5.095499992,0.461999997,56.51350021,40.44400024,8.327499866,0.197800003,0.197800003,35.40849876,3.56400001,25.34100056,22.21099949,19.52950001,5.811500072,South,NSW1,Pacific,West
Australia (QLD),-20.01884,148.250085,0.008082,3.194250047,1.091000006,0.689500004,2.504750013,0.742249995,0.465499997,0.305,0.214499999,0.124749998,0.099250002,4.586249948,0.55675,59.03275013,44.84774971,8.461750031,0.138574999,0.138574999,35.10375023,1.622500032,29.6482501,25.94749975,21.81850004,7.829750061,South,QLD2,Pacific,West
Australia (QLD2),-25.850707,152.9822625,0.002143,3.475000024,2.274333358,1.559999992,1.915000041,0.662,0.526666661,0.387333333,0.176666665,0.14433333,0.118333332,5.08766667,0.340333333,57.33666738,41.08366648,8.369000117,0.369933337,0.369933337,35.17700068,5.79033343,28.97699992,24.60199992,20.46299998,8.514000098,South,QLD3,Pacific,West
Australia (QLD3),-27.494748,153.3970614,0.00524,4.433499992,2.652999997,1.793749966,2.639749944,0.622249991,0.490749992,0.366749994,0.221250001,0.176750002,0.146249996,5.150750041,0.370750003,57.35650063,41.00800037,8.346999884,0.374575004,0.374575004,35.24700069,6.42475009,27.79949951,23.57525015,19.50425005,8.295249939,South,QLD4,Pacific,West
Australia (QLD4),-16.75547,145.973255,0.00642725,1.834999993,0.727250002,0.368250001,1.466749996,0.8715,0.637249991,0.495749995,0.133250004,0.085750001,0.062249999,4.695499897,0.672000006,55.61349964,44.15299988,8.440249681,0.11695,0.11695,35.02199936,1.747500002,30.04400015,26.77975035,23.63849974,6.405500054,South,QLD1,Pacific,West
Australia (VIC),-38.17549067,144.7146057,0.003416167,2.92899998,2.290666719,1.686500013,1.242500017,0.6775,0.605666657,0.540833324,0.204000001,0.180666665,0.156333335,5.680666685,0.399499997,54.15283394,34.37233289,8.259500027,0.1182,0.1182,35.62433306,0.686000009,21.04850006,16.13500055,11.4204998,9.6280001,South,VIC,Pacific,West
Belize,16.80254722,-88.08194444,0.0033955,1.26524996,0.872249994,0.518499993,0.746750012,0.802499995,0.658250004,0.504749998,0.128750004,0.098250002,0.077,4.720249891,1.335500002,51.8777504,42.5407505,8.056999683,0.085800001,0.085800001,36.11349964,2.476000071,30.51924992,28.51375008,26.52425003,3.995000005,North,Belize,Atlantic,West
Brazil,-23.77087333,-45.35448667,0.00384025,2.458000004,1.814250022,1.076499999,1.381500006,0.811500013,0.571500003,0.378999993,0.191,0.162749998,0.120000001,5.127250075,1.661250025,50.89274979,37.90799904,8.056749821,0.253200009,0.253200009,35.56624985,5.019999981,27.91350031,24.62349987,21.59499979,6.318499923,South,Brazil,Atlantic,West
Canada (BC),51.67889333,-128.118861,0.000282667,21.02500025,10.41983334,4.450666547,16.57433351,0.825666656,0.765999993,0.68416667,0.417000001,0.304666661,0.223833332,6.961500009,4.759333293,44.17066638,29.08733368,8.145000458,0.92263335,0.92263335,30.34200001,14.55299997,14.31649987,9.530999819,6.007333279,8.30916667,North,BC,Pacific,East
Canada (QC),49.0885025,-68.3224425,0.003275,39.88180046,16.57460022,2.194200015,37.68760071,0.793999994,0.679400003,0.603200006,0.619199991,0.379400003,0.175599998,7.568000031,5.103600025,47.87839966,35.29660034,7.706400013,0.902919996,0.902919996,26.87200012,13.65939999,14.0512001,5.319999981,-0.807399988,14.85859985,North,QC,Atlantic,West
Chile,-30.2959268,-71.6067784,0.00028875,5.486750066,2.540750027,0.676500008,4.810250044,0.728250012,0.639249995,0.576749995,0.225250002,0.153499998,0.092499999,5.571249962,3.364749968,58.53474903,38.94874954,8.222000122,0.605625004,0.605625004,34.42924976,3.765500009,17.87124968,15.10500002,13.23475003,4.636500001,South,Chile,Pacific,East
Croatia,44.20446025,15.47277313,0.000477,0.734000027,0.612999976,0.538999975,0.195000097,0.801999986,0.656000018,0.444000006,0.101999998,0.090000004,0.081,5.585999966,0.606000006,56.7519989,33.14300156,8.246999741,0.0348,0.0348,38.43399811,3.551000118,24.83699989,15.77700043,8.196000099,16.64100075,North,Croatia,Mediterranean,East
France,43.447124,3.666644,0.003845,4.044666688,1.653333346,0.607000013,3.437666615,0.61833332,0.489000003,0.336333334,0.220000004,0.143999999,0.087,5.563333511,1.841000001,56.18399938,33.78766632,8.272333463,0.242866665,0.242866665,37.33333333,1.481333335,23.60166613,16.4740003,10.20100021,13.40066687,North,France,Mediterranean,East
India,10.06845,73.63358,0.001457667,0.794333319,0.331333334,0.153333331,0.641000003,0.874000013,0.669333339,0.425999989,0.104,0.060333333,0.039666666,4.534333388,0.928666671,52.39666748,44.31700007,8.157333056,0.275533338,0.275533338,35.08633423,3.861666679,30.57466634,29.08200073,27.66899935,2.905666669,North,India,Indian,East
Ireland,54.5282665,-5.5733915,0.006026167,3.521666686,2.588166674,1.949999968,1.571666648,0.818833331,0.761166662,0.696,0.218999997,0.197333331,0.174500001,6.550833305,5.99666659,40.78933271,28.68683338,8.206166903,0.573283335,0.573283335,34.11316681,4.102666696,15.81266673,10.67966652,6.420666615,9.39199996,North,Ireland,Atlantic,East
Italy,43.06767175,9.8312325,0.00012075,0.336750001,0.208500002,0.095000003,0.241749994,0.706750005,0.575499997,0.344750002,0.059249999,0.044500001,0.030500001,5.427000046,0.58949998,57.1875,34.40175056,8.250500202,0.163674999,0.163674999,38.11874962,1.817250043,25.4862504,18.84200001,13.38575006,12.10050011,North,Italy,Mediterranean,East
Korea,34.72863333,128.6047,0.004345,3.940799999,1.989600015,0.998200011,2.942599964,0.711399996,0.533000004,0.401599997,0.228399998,0.170200002,0.122600001,5.670800018,1.286199975,45.75139923,34.09459991,8.110199928,0.304540002,0.304540002,32.94580078,11.98899994,26.15620003,17.68260002,11.65580006,14.50039997,North,Korea,Pacific,West
Mexico (BN),31.75306775,-116.6254988,0.000745,12.43233331,5.229000012,2.087333322,10.34500027,0.539666673,0.40866666,0.288333332,0.355333338,0.243000006,0.170333336,5.833666643,0.055333334,55.8390007,41.98400116,8.224666913,0.36833334,0.36833334,33.52033361,2.525999943,21.60600026,17.81433296,15.03000005,6.576000055,North,Baja,Pacific,East
Mexico (ICML),20.834515,-86.876505,8.33E-05,0.150000002,0.121750001,0.094500002,0.0555,0.710500002,0.614999995,0.544,0.036,0.03275,0.0285,4.575500011,1.021999985,54.71199989,43.77425003,8.162250042,0.096100003,0.096100003,36.20800018,1.96875003,29.90175009,27.98049974,26.23649979,3.665250003,North,Yuca2,Atlantic,West
Mexico (ICML2),19.82714,-87.45461,0.0165308,1.204400042,0.946800005,0.743399978,0.460999985,0.738999999,0.5704,0.451200008,0.098799999,0.085399998,0.073200001,4.599600029,1.108399987,53.12000046,43.40040054,8.141000175,0.0932,0.0932,36.18980026,2.069799995,30.2317997,28.13419991,26.34059982,3.89119997,North,Yuca1,Atlantic,West
Norway,67.214334,15.007534,0.000372125,3.771624997,1.755874991,1.042375006,2.72924998,0.822374992,0.76312501,0.693624996,0.202624997,0.159875,0.1395,6.929249883,4.361999989,40.1881237,29.17724991,8.211999893,0.54823751,0.54823751,32.17600012,7.508249998,14.1624999,7.189500034,2.435250014,11.72724998,North,Norway,Atlantic,East
Panama,9.351713,-82.257695,0.00121325,6.109999955,2.056999981,0.583250001,5.526749969,0.889500007,0.81750001,0.707750008,0.254500005,0.155999998,0.087749999,4.664499998,1.707249999,45.87125015,39.51425076,7.96724999,0.075449999,0.075449999,35.91399956,4.199750066,30.66024971,29.6647501,28.18299961,2.47724998,North,Panama,Atlantic,West
USA (AK),58.60856,-134.931805,0.0024434,8.339400101,2.776799965,0.776800013,7.562600183,0.871199989,0.819199991,0.772799993,0.275,0.190399995,0.116999999,7.660799885,4.557199955,36.15040054,26.19920044,8.2104002,1.001439989,1.001439989,26.73999977,20.25620041,14.28939991,7.806200027,3.214400005,11.07499981,North,AK,Pacific,East
USA (CA),32.76524175,-117.2465335,0.000646333,3.690999985,2.251666705,1.600000044,2.091000001,0.559333324,0.468333334,0.383666664,0.203333333,0.167666669,0.139333335,5.760999997,0.103666668,54.9950002,40.80300013,8.218666712,0.356033325,0.356033325,33.48866653,2.529666662,21.85933367,17.25,14.11699963,7.742333253,North,CA,Pacific,East
USA (CA2),35.3498195,-120.8443089,0.0005375,6.361500025,3.253999949,1.096500009,5.265000105,0.526500002,0.416000009,0.325500011,0.263500005,0.192499995,0.125499997,5.946999788,2.758500099,55.87750053,38.62100029,8.201999664,0.59224999,0.59224999,33.49749947,5.337999821,15.64349985,13.43549967,11.56049967,4.083000064,North,CA2,Pacific,East
USA (CA3),36.809972,-121.7826685,0.0017025,20.09049988,11.91350031,2.619500041,17.47100067,0.606000006,0.505999997,0.409500003,0.421499997,0.322999999,0.175999999,6.476000071,4.729000092,56.6855011,37.42099953,8.208999634,0.744399995,0.744399995,33.58699989,7.95449996,15.23250008,13.0710001,11.42649984,3.806000113,North,CA3,Pacific,East
USA (DE),38.472539,-75.9491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North,DE,Atlantic,West
USA (FL),27.536026,-80.348148,0.0071845,3.502999902,1.974000037,0.906000018,2.597000003,0.755500019,0.57100001,0.450000003,0.218000002,0.1655,0.116,4.707999945,0.3715,54.35000038,41.44499969,8.212500095,0.093449999,0.093449999,36.14500046,1.379999995,30.89949989,25.58099937,21.04950047,9.849999905,North,FL,Atlantic,West
USA (MA),42.420327,-70.915676,0.0060875,11.13399994,6.379750013,2.462250054,8.671750247,0.727749988,0.628250003,0.500499994,0.350249998,0.282500006,0.190000001,6.81524992,3.713500023,48.91224957,31.26824951,8.044000149,0.728375018,0.728375018,31.19649982,4.616750002,18.97324991,10.31599998,2.224999994,16.74825001,North,MA,Atlantic,West
USA (NC),34.69075,-76.62222,0.01353625,6.018750012,4.136500061,2.657499999,3.361249983,0.581249997,0.486749992,0.407749996,0.280500002,0.232749999,0.174000002,5.128000021,0.308749996,53.30600071,35.68824959,8.286499977,0.115625,0.115625,34.89050007,0.934750006,28.57875013,21.24549961,13.64949989,14.92925024,North,NC,Atlantic,West
USA (NC2),34.7004,-76.8335,0.00361075,3.448750019,2.314250022,1.226999968,2.221749991,0.596249998,0.488000005,0.404749997,0.212750003,0.177250002,0.136499999,5.158499956,0.306499995,53.0984993,36.3427496,8.288499832,0.116599999,0.116599999,34.91599941,0.938750014,28.11625004,21.05275011,13.30824995,14.80800009,North,NC2,Atlantic,West
USA (OR),43.315198,-124.3206435,0.0017885,9.641499996,3.813500047,1.447000027,8.194499969,0.75,0.655499995,0.532000005,0.275000006,0.196500003,0.145000003,6.4375,3.836500049,53.40000153,32.27399826,8.199500084,0.645900011,0.645900011,32.49150085,12.89050007,13.69950008,11.20349979,9.449500084,4.25,North,OR,Pacific,East
USA (TX),27.57701933,-97.20710267,0.010221,6.615666628,3.784166654,1.408333331,5.207333485,0.680666665,0.576833338,0.440000003,0.275333335,0.218499998,0.138666667,5.059666634,1.156833291,55.93516668,39.76116689,8.136666616,0.24658333,0.24658333,30.00566641,1.772833347,30.2846667,24.45699978,17.31166649,12.97299989,North,TX,Atlantic,West
USA (VA),37.215796,-76.392675,0.008717,23.53250027,15.49100018,10.4115001,13.12100005,0.584250003,0.504500017,0.43925,0.505500004,0.430249996,0.358749993,5.557250023,1.074500024,50.61050034,34.04049969,8.304500103,0.347599998,0.347599998,16.97624993,1.546999991,27.5222497,16.06725025,4.896000028,22.62624979,North,VA,Atlantic,West
USA (VA2),37.68397667,-75.866725,0.0087705,26.36050034,18.51350021,11.37900019,14.98150015,0.612000018,0.516499996,0.435000002,0.526500016,0.458999991,0.377000004,6.321500063,0.600999996,51.77750015,34.51650047,8.274499893,0.264299996,0.264299996,22.71449947,1.06249997,27.04249954,15.4375,4.012500048,23.03000069,North,VA2,Atlantic,West
USA (WA),47.34852222,-122.3248889,0.008843,7.943499804,7.766499996,7.587499857,0.355999947,0.859499991,0.686499983,0.500499994,0.332000002,0.329500005,0.327000007,6.079999924,10.61849976,55.2159996,33.15500069,7.834000111,2.265050054,2.265050054,28.80550003,33.89249992,16.12650013,10.95100021,7.053499937,9.072999954,North,WA,Pacific,East
USA (WA2),48.48532472,-123.07541,0.00098725,5.066249967,2.479000032,1.567000002,3.499249995,0.825750008,0.666750014,0.444999993,0.236000001,0.187250003,0.155999999,5.713750005,8.647750139,53.63775063,33.55924988,7.887500048,1.894674987,1.894674987,30.3067503,39.40999985,12.27125001,9.515500307,7.208250046,5.062999964,North,WA2,Pacific,East
Wales,52.9420175,-4.565145,0.0099378,4.875800037,3.31239996,2.375600028,2.500199986,0.785800004,0.735199976,0.653199995,0.257000005,0.218199995,0.188400003,6.331999969,8.952200317,46.29900055,30.44760017,8.207800293,0.628439999,0.628439999,34.28199921,4.819400024,16.38339996,11.68279991,7.638199997,8.745200157,North,Wales,Atlantic,East
