sciName,family,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty,name
Abudefduf saxatilis,Pomacentridae,active,2.76,1.53883,555,variable,omnivore,demersal,tropical,short and / or deep,54,234,Abudsaxa
Acanthaluteres spilomelanurus,Monacanthidae,active,nan,1.9078,554.5,variable,omnivore,demersal,subtropical,short and / or deep,nan,nan,Acanspil
Acanthogobius flavimanus,Gobiidae,ambush,3.07,0.7004875,593,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate,fusiform / normal,20,186,Acanflav
Acanthopagrus australis,Sparidae,active,3.1,1.50486,484,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,60,195,Acanaust
Acanthurus coeruleus,Acanthuridae,active,2,3.48929,514,browsing on substrate,browsing herbivore,demersal,tropical,short and / or deep,57,279,Acancoer
Acanthurus sp.,Acanthuridae,active,,,,browsing on substrate,browsing herbivore,demersal,tropical,short and / or deep,,,Acansp
Acropoma japonicum,Acropomatidae,ambush,3.26,1.90447,569,selective plankton feeding,benthic invertivore;planktivore,pelagic non-site attached,tropical,fusiform / normal,58,192,Acrojapo
Albula vulpes,Albulidae,active,3.66,2.409305,575,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,34,130,Albuvulp
Aldrichetta forsteri,Mugilidae,active,2.51,1.99305,602,variable,omnivore,demersal,subtropical,fusiform / normal,nan,nan,Aldrfors
Aluterus scriptus,Monacanthidae,active,3.02,0.864597,558,variable,omnivore,demersal;pelagic site attached,tropical,short and / or deep,42,218,Alutscri
Ambassis jacksoniensis,Ambassidae,ambush,3.1,nan,nan,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,nan,nan,Ambajack
Ambassis marianus,Ambassidae,ambush,nan,nan,nan,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,nan,nan,Ambamari
Ambassis sp.,Ambassidae,ambush,,,,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,,,Ambasp
Amblygobius sp.,Gobiidae,ambush,,,,variable,omnivore,benthic,subtropical;temperate;tropical,elongated;fusiform / normal,,,Amblsp
Ammodytes americanus,Ammodytidae,ambush,3.33,nan,nan,selective plankton feeding,planktivore,pelagic site attached,temperate,elongated,nan,nan,Ammoamer
Ammodytes hexapterus,Ammodytidae,ambush,3.28,1.35361,577,selective plankton feeding,planktivore,pelagic site attached,polar,elongated,30,83,Ammohexa
Ammodytes tobianus,Ammodytidae,ambush,3.16,1.0739385,559.5,selective plankton feeding,planktivore,pelagic site attached,temperate,elongated,51,263,Ammotobi
Anchoa delicatissima,Engraulidae,active,nan,1.93524,577,filtering plankton,planktivore,pelagic non-site attached,subtropical;temperate,elongated,27,210,Anchdeli
Anchoa mitchilli,Engraulidae,active,3.46,3.39229,613,filtering plankton,planktivore,pelagic non-site attached,tropical,elongated,13,134,Anchmitc
Anisotremus virginicus,Haemulidae,active,3.44,1.77369,595.5,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,short and / or deep,nan,nan,Anisvirg
Apeltes quadracus,Gasterosteidae,active,3.23,1.34716,597,variable,benthic invertivore,demersal,temperate,elongated;fusiform / normal,nan,nan,Apelquad
Aphanius fasciatus,Cyprinodontidae,active,2.66,1.10763,546,grazing on aquatic plants,omnivore,demersal,subtropical,fusiform / normal,nan,nan,Aphafasc
Aplysia californica,Aplysiidae,active,,,,grazing on aquatic plants,scraping herbivore,benthic,subtropical,elongated,,,Aplycali
Apodichthys flavidus,Pholidae,active,3.55,nan,nan,browsing on substrate,omnivore,benthic,boreal;subtropical;temperate,eel-like,nan,nan,Apodflav
Archosargus probatocephalus,Sparidae,active,3.53,1.44066,564,hunting macrofauna (predator),benthic invertivore,benthic,tropical,fusiform / normal,nan,nan,Archprob
Arenaeus cribrarius,Portunidae,active,3.69,,,variable,omnivore,benthic,tropical,crab,,,Arencrib
Arenigobius bifrenatus,Gobiidae,ambush,nan,0.742595,593,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,25,101,Arenbifr
Ariopsis felis,Ariidae,active,4.5,1.87561,579,hunting macrofauna (predator),omnivore,benthic,tropical,elongated,nan,nan,Ariofeli
Arothron hispidus,Tetraodontidae,active,3.099999905,1.64032,581,browsing on substrate,benthic invertivore,demersal,tropical,short and / or deep,nan,nan,Arothisp
Arothron sp.,Tetraodontidae,active,,,,browsing on substrate;hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,subtropical;temperate;tropical,fusiform / normal;short and / or deep,,,Arotsp
Arothron stellatus,Tetraodontidae,active,nan,1.33897,590,hunting macrofauna (predator),benthic invertivore,demersal,tropical,short and / or deep,nan,nan,Arotstel
Arrhamphus sclerolepis,Hemiramphidae,active,nan,2.39161,609,variable,omnivore,pelagic site attached,tropical,elongated,nan,nan,Arrhscle
Artedius harringtoni,Cottidae,ambush,3.41,1.12915,587,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,elongated,nan,nan,Arteharr
Artedius lateralis,Cottidae,ambush,3.061,1.23792,438,hunting macrofauna (predator),higher carnivore,benthic,polar,elongated,nan,nan,Artelate
Atherina boyeri,Atherinidae,active,3.22,1.19972,527,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,nan,nan,Atheboye
Atherina hepsetus,Atherinidae,active,3.24,1.65517,580,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,33,109,Atheheps
Atherina presbyter,Atherinidae,active,3.67,1.48975,625,selective plankton feeding,planktivore,pelagic site attached,subtropical,elongated,14,103,Athepres
Atherinella brasiliensis,Atherinopsidae,active,3,1.39901,561,variable,benthic invertivore;planktivore,pelagic site attached,tropical,elongated,nan,nan,Athebras
Atherinomorus endrachtensis,Atherinidae,active,3.4,2.25735,558,selective plankton feeding,planktivore,pelagic site attached,tropical,elongated,nan,nan,Atheendr
Atherinomorus vaigiensis,Atherinidae,active,3.24000001,nan,nan,variable,benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,nan,nan,Athevaig
Atherinops affinis,Atherinopsidae,active,2.76,1.24322,561,selective plankton feeding,planktivore,pelagic site attached,subtropical;temperate,elongated,nan,nan,Atheaffi
Atherinopsis californiensis,Atherinopsidae,active,2.33,1.78363,563,variable,planktivore,pelagic site attached,temperate,elongated,nan,nan,Athecali
Atherinosoma microstoma,Atherinidae,active,nan,nan,nan,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,nan,nan,Athemicr
Aulorhynchus flavidus,Aulorhynchidae,ambush,3.390000105,1.1713,585,selective plankton feeding,benthic invertivore;planktivore,demersal;pelagic site attached,boreal;subtropical;temperate,elongated,nan,nan,Auloflav
Aulostomus chinensis,Aulostomidae,ambush,4.24,1.05018,548,hunting macrofauna (predator),higher carnivore,pelagic site attached,tropical,elongated,42,110,Aulochin
Bairdiella chrysoura,Sciaenidae,active,3.24,1.56165,570,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,43,157,Bairchry
Balistes vetula,Balistidae,active,3.339999914,2.785615,587.5,hunting macrofauna (predator),benthic invertivore,demersal,tropical,short and / or deep,32,199,Balivetu
Bathygobius soporator,Gobiidae,ambush,3.71,0.594677,599,hunting macrofauna (predator),omnivore,benthic,tropical,elongated,nan,nan,Bathsopo
Blepsias cirrhosus,Agonidae,ambush,nan,0.958516,434,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,elongated,nan,nan,Blepcirr
Boops boops,Sparidae,active,3.11,0.973684,612,selective plankton feeding,omnivore,demersal,subtropical,fusiform / normal,nan,nan,Boopboop
Brachyistius frenatus,Embiotocidae,active,3.5,1.3816,592,hunting macrofauna (predator),benthic invertivore,demersal;pelagic site attached,boreal;subtropical;temperate,fusiform / normal,nan,nan,Bracfren
Caesio sp.,Lutjanidae,active,,,,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,,,Caessp
Callinectes arcuatus,Portunidae,active,3.6,,,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,crab,,,Callarcu
Callinectes danae,Portunidae,active,3.63,,,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,tropical,crab,,,Calldana
Callinectes ornatus,Portunidae,active,3.61,,,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,tropical,crab,,,Callorna
Callinectes sapidus,Portunidae,active,3.35,,,variable,omnivore,benthic,subtropical;tropical,crab,,,Callsapi
Callionymus lyra,Callionymidae,ambush,3.27,0.546077,583,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,30,266,Calllyra
Cancer coronatus,Cancridae,active,,,,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,crab,,,Canccoro
Cancer irroratus,Cancridae,active,3.29,,,variable,omnivore,benthic,temperate,crab,,,Cancirro
Canthidermis sufflamen,Balistidae,active,3.48,2.59555,593,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,tropical,short and / or deep,24,207,Cantsuff
Carangoides fulvoguttatus,Carangidae,active,4.02,4.771755,544,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,tropical,fusiform / normal,59,257,Carafulv
Caranx bartholomaei,Carangidae,active,,,,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,tropical,fusiform / normal;short and / or deep,,,Carabart
Caranx latus,Carangidae,active,3.88,3.5336,591,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,tropical,fusiform / normal,nan,nan,Caralatu
Caranx ruber,Carangidae,active,3.81,4.22826,622,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,tropical,fusiform / normal,nan,nan,Cararube
Carcharhinus melanopterus,Carcharhinidae,active,4.33,1.542175,601.5,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,tropical,fusiform / normal,20,159.5,Carcmela
Carcinus maenas,Carcinidae,active,,,,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate;tropical,crab,,,Carcmaen
Centropogon australis,Tetrarogidae,ambush,nan,1.5289,541,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,nan,nan,Centaust
Chaetodon auriga,Chaetodontidae,active,3.130000114,2.4299,551,hunting macrofauna (predator),benthic invertivore,demersal,tropical,short and / or deep,15,246.5,Chaeauri
Chasmodes saburrae,Blenniidae,ambush,nan,nan,nan,hunting macrofauna (predator),omnivore,benthic,subtropical,elongated;fusiform / normal,nan,nan,Chassabu
Cheilio inermis,Labridae,active,3.49,0.9543075,596.5,variable,benthic invertivore;higher carnivore,demersal,tropical,elongated,16,73,Cheiiner
Cheilodactylus variegatus,Cheilodactylidae,active,3.35,2.03908,562,hunting macrofauna (predator),benthic invertivore,demersal,temperate,fusiform / normal,nan,nan,Cheivari
Chelidonichthys kumu,Triglidae,ambush,3.68,0.996329,558,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,43,201,Chelkumu
Chilomycterus schoepfi,Diodontidae,active,,,,variable,benthic invertivore,demersal,tropical,short and / or deep,,,Chilscho
Chromis chromis,Pomacentridae,active,3.38,1.13384,468,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,nan,nan,Chrochro
Citharichthys sordidus,Paralichthyidae,ambush,3.3,1.50854,568,hunting macrofauna (predator),higher carnivore,benthic,polar,fusiform / normal,33,177,Cithsord
Citharichthys stigmaeus,Paralichthyidae,ambush,3.4,nan,nan,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,short and / or deep,nan,nan,Cithstig
Clevelandia ios,Gobiidae,ambush,3.119999886,1.02392,587,variable,omnivore,benthic,subtropical,fusiform / normal,nan,nan,Clevios
Clupea harengus,Clupeidae,active,3.294999981,2.12862,559.6666667,variable,planktivore,pelagic non-site attached,temperate,fusiform / normal,41.33333333,147.6666667,Cluphare
Coris caudimacula,Labridae,active,3.38,1.17453,586,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,nan,nan,Coricaud
Coris julis,Labridae,active,3.24000001,1.61389,553,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,subtropical,fusiform / normal,32,216,Corijuli
Coris pictoides,Labridae,active,nan,1.43692,596,variable,benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,nan,nan,Coripict
Coris sp.,Labridae,active,,,,variable,benthic invertivore;higher carnivore,demersal,subtropical;temperate;tropical,elongated;fusiform / normal,,,Corisp
Cottoidea sp.,Cottidae,ambush,,,,hunting macrofauna (predator),higher carnivore,benthic,boreal;polar;subtropical;temperate,elongated;fusiform / normal,,,Cottsp
Cottus asper,Cottidae,ambush,3.61,0.876085,569,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,boreal;temperate,elongated,nan,nan,Cottaspe
Cottus bairdi,Cottidae,ambush,,,,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,boreal;polar;subtropical;temperate,elongated;fusiform / normal,,,Cottbair
Crangon crangon,Crangonidae,active,,,,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,shrimp,,,Crancran
Crangon septemspinosa,Crangonidae,active,,,,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,shrimp,,,Cransept
Crangon sp.,Crangonidae,active,,,,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,shrimp,,,Cransp
Ctenogobius boleosoma,Gobiidae,ambush,3.25,0.42897,606,hunting macrofauna (predator),omnivore,benthic,tropical,fusiform / normal,nan,nan,Ctenbole
Ctenogobius sagittula,Gobiidae,ambush,nan,0.505296,592,variable,omnivore,benthic,tropical,elongated,21,147,Ctensagi
Culaea inconstans,Gasterosteidae,active,3.29,1.52301,540,variable,benthic invertivore;planktivore,demersal,temperate,fusiform / normal,nan,nan,Culainco
Cyclopterus lumpus,Cyclopteridae,active,3.64,0.727708,580,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,temperate,short and / or deep,28,169,Cycllump
Cymatogaster aggregata,Embiotocidae,active,2.99,1.25039,584,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,boreal;temperate,short and / or deep,nan,nan,Cymaaggr
Cynoscion arenarius,Sciaenidae,active,nan,1.1701,564,hunting macrofauna (predator),higher carnivore,demersal,tropical,fusiform / normal,nan,nan,Cynoaren
Cynoscion nebulosus,Sciaenidae,active,3.98,1.48035,595,hunting macrofauna (predator),higher carnivore,demersal,tropical,fusiform / normal,15,137,Cynonebu
Cyprinodon variegatus,Cyprinodontidae,active,nan,1.40865,530,grazing on aquatic plants,omnivore,demersal,tropical,short and / or deep,nan,nan,Cyprvari
Diagramma pictum,Haemulidae,active,3.39,1.4533598,595.8,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,18.66666667,211.6666667,Diagpict
Dicentrarchus labrax,Moronidae,active,3.47,1.22321,621,hunting macrofauna (predator),higher carnivore,demersal,subtropical;temperate,fusiform / normal,17,76,Dicelabr
Diodon hystrix,Diodontidae,active,3.61,1.53265,558,variable,benthic invertivore,demersal,tropical,short and / or deep,nan,nan,Diodhyst
Diplodus annularis,Sparidae,active,3.21,1.58178,575,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,33,200,Diplannu
Diplodus holbrookii,Sparidae,active,2.7,2.35768,554,grazing on aquatic plants,omnivore,demersal,subtropical,fusiform / normal,nan,nan,Diplholb
Diplodus puntazzo,Sparidae,active,3.07,3.0997,555,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,37,212,Diplpunt
Diplodus sargus,Sparidae,active,3.24,3.23978,545,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,nan,nan,Diplsarg
Diplodus vulgaris,Sparidae,active,3.34,4.71819,472,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,nan,nan,Diplvulg
Ditrema temminckii,Embiotocidae,active,,,,hunting macrofauna (predator),benthic invertivore,demersal;pelagic site attached,boreal;subtropical;temperate,fusiform / normal;short and / or deep,,,Ditrtemm
Echeneis naucrates,Echeneidae,active,3.4,1.53934,613,variable,benthic invertivore;higher carnivore,pelagic non-site attached,tropical,elongated,nan,nan,Echenauc
Echiichthys vipera,Trachinidae,ambush,nan,1.58052,594,hunting macrofauna (predator),higher carnivore,benthic,subtropical,elongated,19,172,Echivipe
Elops saurus,Elopidae,active,4.11,0.899151,592,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,elongated,nan,nan,Elopsaur
Embiotoca jacksoni,Embiotocidae,active,3.31,2.41741,574,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,subtropical;temperate,short and / or deep,nan,nan,Embijack
Embiotoca lateralis,Embiotocidae,active,3.33,1.4289,598,hunting macrofauna (predator),benthic invertivore,demersal;pelagic site attached,boreal;subtropical;temperate,short and / or deep,nan,nan,Embilate
Embiotoca sp.,Embiotocidae,active,,,,variable,benthic invertivore;planktivore,demersal;pelagic site attached,boreal;subtropical;temperate,fusiform / normal;short and / or deep,,,Embisp
Embiotocidae sp.,Embiotocidae,active,,,,variable,benthic invertivore;planktivore,demersal;pelagic site attached,boreal;subtropical;temperate,fusiform / normal;short and / or deep,,,Embisp.1
Embiotocidae spp.,Embiotocidae,active,,,,variable,benthic invertivore;planktivore,demersal;pelagic site attached,boreal;subtropical;temperate,fusiform / normal;short and / or deep,,,Embispp
Engraulis ringens,Engraulidae,active,2.859999895,1.97543,557,filtering plankton,planktivore,pelagic non-site attached,temperate,elongated,44,148,Engrring
Enophrys bison,Cottidae,ambush,3.34,1.47686,579,hunting macrofauna (predator),higher carnivore,benthic,boreal;subtropical;temperate,fusiform / normal,nan,nan,Enopbiso
Entelurus aequoreus,Syngnathidae,ambush,3.539999962,nan,nan,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,temperate,eel-like,nan,nan,Enteaequ
Epinephelus coioides,Serranidae,ambush,3.95,1.284177,593.25,hunting macrofauna (predator),higher carnivore,benthic,tropical,fusiform / normal,18,144,Epincoio
Epinephelus sp.,Serranidae,ambush,,,,hunting macrofauna (predator),higher carnivore,demersal,subtropical;temperate;tropical,fusiform / normal,,,Epinsp
Ethmidium maculatum,Clupeidae,active,2.82,2.29801,561,filtering plankton,planktivore,pelagic non-site attached,temperate,fusiform / normal,nan,nan,Ethmmacu
Etropus longimanus,Paralichthyidae,ambush,3.29,1.15656,616,hunting macrofauna (predator),benthic invertivore,benthic,tropical,short and / or deep,13,168,Etrolong
Eucinostomus argenteus,Gerreidae,active,3.32,2.35299,570,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,nan,nan,Euciarge
Eucinostomus harengulus,Gerreidae,active,3.26,nan,nan,hunting macrofauna (predator),benthic invertivore,demersal,subtropical;tropical,fusiform / normal,nan,nan,Eucihare
Eucinostomus melanopterus,Gerreidae,active,3.39,2.60386,549,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,nan,nan,Eucimela
Eurypanopeus turgidus,Panopeidae,active,,,,browsing on substrate,omnivore,benthic,subtropical;temperate;tropical,crab,,,Euryturg
Farfantepenaeus aztecus,Penaeidae,active,2.93,,,variable,omnivore,benthic,subtropical,shrimp,,,Farfazte
Farfantepenaeus californiensis,Penaeidae,active,nan,,,variable,omnivore,benthic,subtropical,shrimp,,,Farfcali
Farfantepenaeus spp.,Penaeidae,active,,,,variable,omnivore,benthic,subtropical;tropical,shrimp,,,Farfspp
Farfantepenaus spp.,Penaeidae,active,,,,variable,omnivore,benthic,subtropical;tropical,shrimp,,,Farfspp.1
Favonigobius exquisitus,Gobiidae,ambush,nan,nan,nan,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated;fusiform / normal,nan,nan,Favoexqu
Favonigobius gymnauchen,Gobiidae,ambush,2.71,0.875239,590,hunting macrofauna (predator),benthic invertivore,benthic,tropical,fusiform / normal,nan,nan,Favogymn
Fistularia commersonii,Fistulariidae,ambush,4.28,1.75645,587,hunting macrofauna (predator),higher carnivore,demersal,tropical,elongated,19,82,Fistcomm
Fundulus grandis,Fundulidae,active,3.42,1.26754,430,variable,omnivore,demersal,subtropical;tropical,elongated,103,158,Fundgran
Fundulus heteroclitus,Fundulidae,active,3.59,0.897476,590,variable,omnivore,demersal,temperate,fusiform / normal,nan,nan,Fundhete
Fundulus majalis,Fundulidae,active,nan,0.806902,502,hunting macrofauna (predator),benthic invertivore,demersal,subtropical;temperate,elongated,nan,nan,Fundmaja
Fundulus parvipinnis,Fundulidae,active,nan,1.23684,561,hunting macrofauna (predator),benthic invertivore,benthic,temperate,elongated,40,147,Fundparv
Fundulus similis,Fundulidae,active,nan,0.902809,503,variable,omnivore,demersal,subtropical,elongated,nan,nan,Fundsimi
Gadus chalcogrammus,Gadidae,ambush,3.680000067,1.32172,578.5,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,polar,fusiform / normal,35,171,Gaduchal
Gadus morhua,Gadidae,ambush,4.29,1.29725,576,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,temperate,fusiform / normal,33,122,Gadumorh
