Country,Site,hemi,basin,coast,habitat,sstmean,parmean,MDS1,rate,temp,sal,biomass,cpua
Australia (NSW),NSW2,South,Pacific,West,Seagrass,21.1489996910095,38.8474998474121,0.838093487900109,0.9466666666525264,24.8333333333333,31.8888888888889,2.8475455852890144,2.2114987468671683
Australia (NSW),NSW2,South,Pacific,West,Unvegetated,21.1489996910095,38.8474998474121,0.838093487900109,0.999999999957579,24.9333333333333,32,1.358631639123543,0.4458881389630095
Australia (NSW2),NSW1,South,Pacific,West,Seagrass,22.2109994888306,40.4440002441406,0.624886325807451,0.9866666666341051,27.8666666666667,36.4666666666667,4.360479497957303,3.1
Australia (NSW2),NSW1,South,Pacific,West,Unvegetated,22.2109994888306,40.4440002441406,0.624886325807451,0.461121114201135,28.1666666666667,36.4666666666667,0.8910656919713157,0.112
Australia (QLD),QLD2,South,Pacific,West,Seagrass,25.9474997520447,44.847749710083,0.801070272138874,0.08853453846133791,27.75,33.5,2.509003526094194,0.8733333333333334
Australia (QLD),QLD2,South,Pacific,West,Unvegetated,25.9474997520447,44.847749710083,0.801070272138874,0.06672935440380337,27.0833333333333,32.3333333333333,0.16881241872681035,0.40184615384615385
Australia (QLD2),QLD3,South,Pacific,West,Seagrass,24.6019999186198,41.0836664835612,0.548046781409814,0.6600845269307926,26,33.9,0.9890032724057619,0.5283333333333333
Australia (QLD2),QLD3,South,Pacific,West,Unvegetated,24.6019999186198,41.0836664835612,0.548046781409814,0.5449547423576482,26,33.9,0.33221909655605536,1.015
Australia (QLD3),QLD4,South,Pacific,West,Seagrass,23.5752501487732,41.0080003738403,0.57188499095532,0.5552368993574893,30.2,37.8285714285714,1.8047723757854957,0.44766666666666666
Australia (QLD3),QLD4,South,Pacific,West,Unvegetated,23.5752501487732,41.0080003738403,0.57188499095532,0.26329314794513536,30.5222222222222,37.7222222222222,0.07519953080516426,0.08821428571428572
Australia (VIC),VIC,South,Pacific,West,Seagrass,16.1350005467733,34.3723328908285,0.222838316482422,0.015799707227197837,20.7625,37,0.5607535565545182,0.11
Australia (VIC),VIC,South,Pacific,West,Unvegetated,16.1350005467733,34.3723328908285,0.222838316482422,0.0053698392662873285,20.7625,37,0.09074864795020482,0.1275
Brazil,Brazil,South,Atlantic,West,Seagrass,24.6234998703003,37.9079990386963,0.28242100607073,0.02011235337054714,26.8222222222222,34.1666666666667,0.4361174985636044,0.07453373015873016
Brazil,Brazil,South,Atlantic,West,Unvegetated,24.6234998703003,37.9079990386963,0.28242100607073,0.0034934683303117233,26.9777777777778,33.4444444444444,0.1729288370080109,0.014024024024024024
Canada (BC),BC,North,Atlantic,East,Seagrass,9.53099981943766,29.0873336791992,-0.153351845968433,0.0023574805238045764,12.1,30.8366666666667,0,0
Canada (BC),BC,North,Atlantic,East,Unvegetated,9.53099981943766,29.0873336791992,-0.153351845968433,0.003989310499618517,12.6083333333333,29.645,0,0
Canada (QC),QC,North,Atlantic,West,Seagrass,5.31999998092651,35.2966003417969,-1.19288278658989,0,12.5,30,0,0
Canada (QC),QC,North,Atlantic,West,Unvegetated,5.31999998092651,35.2966003417969,-1.19288278658989,0.0022155803892083634,12.5,30,0,0
Chile,Chile,South,Pacific,East,Seagrass,15.1050000190735,38.9487495422363,-0.296654489056944,0.0034983984441685134,19.8333333333333,33.6666666666667,0.1522842913639528,0.037134099616858235
Chile,Chile,South,Pacific,East,Unvegetated,15.1050000190735,38.9487495422363,-0.296654489056944,0.0058910509815257965,19.6,34.0333333333333,0,0
Croatia,Croatia,North,Mediterranean,East,Seagrass,15.7770004272461,33.1430015563965,0.363245566654951,0,22,25,1.0905576570163915,0.24031192321889996
Croatia,Croatia,North,Mediterranean,East,Unvegetated,15.7770004272461,33.1430015563965,0.363245566654951,0.191681671322913,21.9444444444444,18.4444444444444,0.24069172077184267,0.16996947496947498
France,France,North,Mediterranean,East,Seagrass,16.4740002950033,33.7876663208008,0.33391470845432,4.537526647225833e-4,24.4666666666667,35.975,0.3567860690308016,0.13125
France,France,North,Mediterranean,East,Unvegetated,16.4740002950033,33.7876663208008,0.33391470845432,0.04617251367819423,24.5416666666667,36.0083333333333,0.4093805869399998,0.05591397849462366
Korea,Korea,North,Pacific,West,Seagrass,17.6826000213623,34.0945999145508,0.123465023391553,0.028809205495607466,18.4666666666667,32.7833333333333,0.3306103519897954,0.09229094076655053
Korea,Korea,North,Pacific,West,Unvegetated,17.6826000213623,34.0945999145508,0.123465023391553,0.237366349768132,18.3166666666667,32.4666666666667,1.3826706266919786,0.2575138296747824
Mexico (BN),Baja,North,Pacific,East,Seagrass,17.8143329620361,41.984001159668,-0.150271827039315,0.28779725376202187,25.3411111111111,37.1111111111111,1.4412384751237102,0.20127606598194833
Mexico (BN),Baja,North,Pacific,East,Unvegetated,17.8143329620361,41.984001159668,-0.150271827039315,0.020034491522679266,24.7177777777778,37.4444444444444,0.6296289924583877,0.06827042353358143
Norway,Norway,North,Atlantic,East,Seagrass,7.18950003385544,29.1772499084473,-0.735914742308844,0,11.52,29.14,0.00975855197417118,0.013778801843317971
Norway,Norway,North,Atlantic,East,Unvegetated,7.18950003385544,29.1772499084473,-0.735914742308844,5.714641352272767e-4,11.5,29.01,0.006740434164911636,0.03990261813537675
USA (AK),AK,North,Pacific,East,Seagrass,7.80620002746582,26.1992004394531,-0.873120726802983,0.0017860163885773,13.8333333333333,12.5555555555556,0,0
USA (AK),AK,North,Pacific,East,Unvegetated,7.80620002746582,26.1992004394531,-0.873120726802983,0,13.9777777777778,12,0,0
USA (CA),CA,North,Pacific,East,Seagrass,17.25,40.8030001322428,-0.218945268683067,0.1295737972705193,21.8677777777778,31.7111111111111,5.83248872674587,0.28675017572175243
USA (CA),CA,North,Pacific,East,Unvegetated,17.25,40.8030001322428,-0.218945268683067,0.023118523158235017,21.8311111111111,31.7222222222222,0.8797984820842518,0.1588662893746469
USA (CA2),CA2,North,Pacific,East,Seagrass,13.4354996681213,38.621000289917,-0.281566251153935,0.010381562524838803,NaN,NaN,0.03891552982251147,0.05135256356347938
USA (CA2),CA2,North,Pacific,East,Unvegetated,13.4354996681213,38.621000289917,-0.281566251153935,0.00417099738680256,NaN,NaN,0.01103486579352631,0.013859560918384448
USA (CA3),CA3,North,Pacific,East,Seagrass,13.0710000991821,37.4209995269775,-0.782185070614495,0.1294863489335448,15.8388888888889,33.4533333333333,9.937976678063792e-4,0.004
USA (CA3),CA3,North,Pacific,East,Unvegetated,13.0710000991821,37.4209995269775,-0.782185070614495,0.0011661328149532933,15.5666666666667,33.8338888888889,0.003975780931383213,0.012
USA (DE),DE,North,Atlantic,West,Unvegetated,NA,NA,-0.243638465793403,0.004298785693523893,NaN,NaN,0.4501323050687631,0.29
USA (MA),MA,North,Atlantic,West,Seagrass,10.3159999847412,31.2682495117188,-0.893390270848887,0.004143496912381877,13.0555555555556,31.7777777777778,0,0
USA (MA),MA,North,Atlantic,West,Unvegetated,10.3159999847412,31.2682495117188,-0.893390270848887,0.0030048645718492666,12.7777777777778,31.1111111111111,0,0
USA (NC),NC,North,Atlantic,West,Seagrass,21.2454996109009,35.6882495880127,0.050580947997891,0.7009696188211324,33.6888888888889,33.6666666666667,4.148076838161395,0.49777345002064105
USA (NC),NC,North,Atlantic,West,Unvegetated,21.2454996109009,35.6882495880127,0.050580947997891,0.7192889556764114,33.0111111111111,34.1111111111111,0.7260153405422041,0.06587868656834174
USA (NC2),NC2,North,Atlantic,West,Seagrass,21.0527501106262,36.3427495956421,0.47979277197584,0.8933333333153647,23.65,26.0916666666667,0.7441760349156344,0.125
USA (OR),OR,North,Pacific,East,Seagrass,11.2034997940063,32.273998260498,-0.70816362126018,0.0012857943042613724,15.9504444444444,32.33,0,0
USA (OR),OR,North,Pacific,East,Unvegetated,11.2034997940063,32.273998260498,-0.70816362126018,0.00425382689863089,17.1404444444444,32.0566666666667,0.017418559465180772,0.0033333333333333335
USA (TX),TX,North,Atlantic,West,Seagrass,24.4569997787476,39.7611668904622,0.0812314367034448,0.0944348488813344,28,35.5555555555556,1.8357373973178777,1.4105555555555556
USA (TX),TX,North,Atlantic,West,Unvegetated,24.4569997787476,39.7611668904622,0.0812314367034448,0.1329344117837149,28,34.5555555555556,1.6666883605353282,0.49444444444444446
USA (VA),VA,North,Atlantic,West,Seagrass,16.06725025177,34.0404996871948,-0.294888668538322,0.10440977133211,29.57762,21.81871,0.8390555098312953,0.025
USA (VA),VA,North,Atlantic,West,Unvegetated,16.06725025177,34.0404996871948,-0.294888668538322,0.084835590815131,29.57762,21.81871,0,0
USA (VA2),VA2,North,Atlantic,West,Seagrass,15.4375,34.5165004730225,0.00840532033261349,0.025205604317541333,25.7111111111111,19.2555555555556,2.236914429963968,0.14980392156862746
USA (VA2),VA2,North,Atlantic,West,Unvegetated,15.4375,34.5165004730225,0.00840532033261349,0.0102161026488851,25.6,19.2333333333333,3.131569992520716,0.15164021164021163
USA (WA),WA,North,Pacific,East,Seagrass,10.951000213623,33.1550006866455,-0.578026339704862,0.004143496912381877,20.2111111111111,31,0,0
USA (WA),WA,North,Pacific,East,Unvegetated,10.951000213623,33.1550006866455,-0.578026339704862,0.004212231780708067,19.5555555555556,30.5555555555556,0,0
USA (WA2),WA2,North,Pacific,East,Seagrass,9.51550030708313,33.5592498779297,-0.585346845352842,0.00173759695018057,16.325,31.2083333333333,0,0
USA (WA2),WA2,North,Pacific,East,Unvegetated,9.51550030708313,33.5592498779297,-0.585346845352842,0.0038215189411825,16.6708333333333,30.6666666666667,0,0
Wales,Wales,North,Atlantic,East,Seagrass,11.682799911499,30.4476001739502,-0.292671993752222,0.261393862395971,16.5,33,0.9150650021494929,0.7602777777777778
Wales,Wales,North,Atlantic,East,Unvegetated,11.682799911499,30.4476001739502,-0.292671993752222,0.01150116509243037,16.5,33,0.36692888395047546,0.2941666666666667
